Tagname,Class,System,Loop_Sequence,Function_Code,Drawing_No,RapidOCR_Text,TesseractOCR_Text,Raw_Text
,INSTRUMENT,,,,img_0_grid_8_det_1.png,PZT 14 15,,PZT 14 15 
,INSTRUMENT,,,,img_0_grid_8_det_3.png,P 4 5,,P 4 5 
,INSTRUMENT,,,,img_0_grid_8_det_5.png,,aE, aE
,INSTRUMENT,,,,img_0_grid_8_det_6.png,PZI tel 15,",

_

PEI

l

‘| o1i4

:

La","PZI tel 15 ,

_

PEI

l

‘| o1i4

:

La"
,INSTRUMENT,,,,img_0_grid_8_det_8.png,H 0112 15,"im

<¢ Cit2

1S","H 0112 15 im

<¢ Cit2

1S"
,INSTRUMENT,,,,img_0_grid_8_det_9.png,,"an

LF

."," an

LF

."
,INSTRUMENT,,,,img_0_grid_8_det_0.png,PZT 14 15,"ares

114

Id","PZT 14 15 ares

114

Id"
,INSTRUMENT,,,,img_0_grid_8_det_1.png,H 0112 15,"U1 te

oy

15","H 0112 15 U1 te

oy

15"
,INSTRUMENT,,,,img_0_grid_8_det_3.png,16,,16 
,INSTRUMENT,,,,img_0_grid_8_det_4.png,Hl'y 0112 15,"J

ibr

Ve

?

193

i","Hl'y 0112 15 J

ibr

Ve

?

193

i"
,INSTRUMENT,,,,img_0_grid_8_det_5.png,,,
,INSTRUMENT,,,,img_0_grid_8_det_7.png,PZI tEl 15,"jd

J

Pel

J)“ “1

L

_

|

La","PZI tEl 15 jd

J

Pel

J)“ “1

L

_

|

La"
,INSTRUMENT,,,,img_0_grid_8_det_1.png,PZT 14 15,"|| {la

re

1","PZT 14 15 || {la

re

1"
,INSTRUMENT,,,,img_0_grid_8_det_4.png,14 1 4 15,Cay er,14 1 4 15 Cay er
,INSTRUMENT,,,,img_0_grid_8_det_5.png,HI'y 112 15,"rue

E

112

19

:","HI'y 112 15 rue

E

112

19

:"
,INSTRUMENT,,,,img_0_grid_8_det_6.png,,mE, mE
,INSTRUMENT,,,,img_0_grid_8_det_7.png,PZI 15,"i

Fel

Fee","PZI 15 i

Fel

Fee"
,INSTRUMENT,,,,img_0_grid_9_det_7.png,,it, it
,INSTRUMENT,,,,img_0_grid_9_det_8.png,5,"ey |

AG all |

co OT )COLLL","5 ey |

AG all |

co OT )COLLL"
,INSTRUMENT,,,,img_0_grid_9_det_9.png,0117 15,"_

(|

| O447

_

15","0117 15 _

(|

| O447

_

15"
,INSTRUMENT,,,,img_0_grid_9_det_10.png,JL 「 5,,JL 「 5 
,INSTRUMENT,,,,img_0_grid_9_det_11.png,r 5 . C,,r 5 . C 
,INSTRUMENT,,,,img_0_grid_9_det_2.png,0117 15,"HZV

Cc","0117 15 HZV

Cc"
,INSTRUMENT,,,,img_0_grid_9_det_7.png,0117 15,"a

Cd |

“|| o147

_

13","0117 15 a

Cd |

“|| o147

_

13"
,INSTRUMENT,,,,img_0_grid_9_det_8.png,20,"AG dll |

co CTW ]CUOL","20 AG dll |

co CTW ]CUOL"
,INSTRUMENT,,,,img_0_grid_9_det_0.png,0117 15,Co,0117 15 Co
,INSTRUMENT,,,,img_0_grid_9_det_3.png,T 0117 15,"(ary

\ 15 ‘|","T 0117 15 (ary

\ 15 ‘|"
,INSTRUMENT,,,,img_0_grid_10_det_3.png,0110,"|

uid

4| ot","0110 |

uid

4| ot"
,INSTRUMENT,,,,img_0_grid_10_det_4.png,P 1111 16,"|

1d

4

“A","P 1111 16 |

1d

4

“A"
,INSTRUMENT,,,,img_0_grid_10_det_8.png,0116,"AT

OI16

mk

al","0116 AT

OI16

mk

al"
